n_points,threads,iteration,elapsed_ms,cores
20000,1,1,23.9999,19952
20000,1,2,26,19952
20000,1,3,24.9999,19952
20000,1,4,25.0001,19952
20000,1,5,26,19952
20000,1,6,26,19952
20000,1,7,26,19952
20000,1,8,25.0001,19952
20000,1,9,26,19952
20000,1,10,24.9999,19952
20000,10,1,6.99997,19952
20000,10,2,8.00014,19952
20000,10,3,7.9999,19952
20000,10,4,8.00014,19952
20000,10,5,6.99997,19952
20000,10,6,9.00006,19952
20000,10,7,6.99997,19952
20000,10,8,6.00004,19952
20000,10,9,5.9998,19952
20000,10,10,6.00004,19952
20000,20,1,7.9999,19949
20000,20,2,7.9999,19949
20000,20,3,8.00014,19949
20000,20,4,6.99997,19949
20000,20,5,8.00014,19949
20000,20,6,7.9999,19949
20000,20,7,8.00014,19949
20000,20,8,6.99997,19949
20000,20,9,6.99997,19949
20000,20,10,6.99997,19949
20000,40,1,11.0002,19949
20000,40,2,11.9998,19949
20000,40,3,12.0001,19949
20000,40,4,10.9999,19949
20000,40,5,11.0002,19949
20000,40,6,10.9999,19949
20000,40,7,11.0002,19949
20000,40,8,12.0001,19949
20000,40,9,12.0001,19949
20000,40,10,11.9998,19949
40000,1,1,51.9998,39962
40000,1,2,57.9998,39962
40000,1,3,53.9999,39962
40000,1,4,54.0001,39962
40000,1,5,56,39962
40000,1,6,54.0001,39962
40000,1,7,54.9998,39962
40000,1,8,54.9998,39962
40000,1,9,69,39962
40000,1,10,66.9999,39962
40000,10,1,9.99999,39961
40000,10,2,11.0002,39961
40000,10,3,10.9999,39961
40000,10,4,10.9999,39961
40000,10,5,10.9999,39961
40000,10,6,10.9999,39961
40000,10,7,11.0002,39961
40000,10,8,10.9999,39961
40000,10,9,11.0002,39961
40000,10,10,10.9999,39961
40000,20,1,13,39955
40000,20,2,11.9998,39955
40000,20,3,13,39955
40000,20,4,13,39955
40000,20,5,13,39955
40000,20,6,13,39955
40000,20,7,13,39955
40000,20,8,13.9999,39955
40000,20,9,13,39955
40000,20,10,13.9999,39955
40000,40,1,21.0001,39960
40000,40,2,20.9999,39960
40000,40,3,20.9999,39960
40000,40,4,20,39960
40000,40,5,23,39960
40000,40,6,22.0001,39960
40000,40,7,21.0001,39960
40000,40,8,17.9999,39960
40000,40,9,17,39960
40000,40,10,17.9999,39960
80000,1,1,114,79966
80000,1,2,112,79966
80000,1,3,118,79966
80000,1,4,112,79966
80000,1,5,119,79966
80000,1,6,110,79966
80000,1,7,112,79966
80000,1,8,107,79966
80000,1,9,110,79966
80000,1,10,106,79966
80000,10,1,23,79966
80000,10,2,20.9999,79966
80000,10,3,21.9998,79966
80000,10,4,22.0001,79966
80000,10,5,21.0001,79966
80000,10,6,20.9999,79966
80000,10,7,20.9999,79966
80000,10,8,18.0001,79966
80000,10,9,19.0001,79966
80000,10,10,18.9998,79966
80000,20,1,22.0001,79963
80000,20,2,23,79963
80000,20,3,23,79963
80000,20,4,23,79963
80000,20,5,20,79963
80000,20,6,23.9999,79963
80000,20,7,24.9999,79963
80000,20,8,23,79963
80000,20,9,23,79963
80000,20,10,25.0001,79963
80000,40,1,32.0001,79963
80000,40,2,34.9998,79963
80000,40,3,31.0001,79963
80000,40,4,34.0002,79963
80000,40,5,33.9999,79963
80000,40,6,41.0001,79963
80000,40,7,36.9999,79963
80000,40,8,29,79963
80000,40,9,33,79963
80000,40,10,38.0001,79963
120000,1,1,172,119960
120000,1,2,168,119960
120000,1,3,178,119960
120000,1,4,172,119960
120000,1,5,170,119960
120000,1,6,170,119960
120000,1,7,170,119960
120000,1,8,171,119960
120000,1,9,171,119960
120000,1,10,167,119960
120000,10,1,27,119959
120000,10,2,32.0001,119959
120000,10,3,33.9999,119959
120000,10,4,32.0001,119959
120000,10,5,27,119959
120000,10,6,27,119959
120000,10,7,33.9999,119959
120000,10,8,29,119959
120000,10,9,29,119959
120000,10,10,28.9998,119959
120000,20,1,29,119958
120000,20,2,33.9999,119958
120000,20,3,37.0002,119958
120000,20,4,39,119958
120000,20,5,33,119958
120000,20,6,33,119958
120000,20,7,35.0001,119958
120000,20,8,35.0001,119958
120000,20,9,33,119958
120000,20,10,33,119958
120000,40,1,45.0001,119958
120000,40,2,56,119958
120000,40,3,53,119958
120000,40,4,43.9999,119958
120000,40,5,56,119958
120000,40,6,56.9999,119958
120000,40,7,50.9999,119958
120000,40,8,53,119958
120000,40,9,43,119958
120000,40,10,45.0001,119958
200000,1,1,291,199973
200000,1,2,304,199973
200000,1,3,304,199973
200000,1,4,303,199973
200000,1,5,293,199973
200000,1,6,292,199973
200000,1,7,285,199973
200000,1,8,297,199973
200000,1,9,290,199973
200000,1,10,305,199973
200000,10,1,42.0001,199973
200000,10,2,53,199973
200000,10,3,43.0002,199973
200000,10,4,56,199973
200000,10,5,50.9999,199973
200000,10,6,53,199973
200000,10,7,43,199973
200000,10,8,51.0001,199973
200000,10,9,44.9998,199973
200000,10,10,49,199973
200000,20,1,50,199973
200000,20,2,50,199972
200000,20,3,50,199973
200000,20,4,51.0001,199972
200000,20,5,52,199973
200000,20,6,50.9999,199973
200000,20,7,59,199972
200000,20,8,52,199972
200000,20,9,48.9998,199973
200000,20,10,51.0001,199972
200000,40,1,89,199971
200000,40,2,90.9998,199971
200000,40,3,90.0002,199971
200000,40,4,79.9999,199971
200000,40,5,79,199971
200000,40,6,84.0001,199971
200000,40,7,90.0002,199971
200000,40,8,76.9999,199971
200000,40,9,89,199971
200000,40,10,86.0002,199971
